Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: SI-2B, Mata Kuliah: Sistem Basis Data, Dosen: Billi, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: SI-6A, Mata Kuliah: Sistem Cerdas, Dosen: Yuyun, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-2C, Mata Kuliah: Bahasa Indonesia, Dosen: Sutri, Ruang: L4 R.75 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-4C, Mata Kuliah: Analisis Desain Algoritma, Dosen: Intan Purnamasari, Ruang: L4 R.76 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-4D, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Jajam Haerul Jaman, Ruang: L4 R.77 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: SI-PIL, Mata Kuliah: E-Bisnis Desain, Dosen: Hanni, Ruang: L4 R.78 [SI]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-2B, Mata Kuliah: Pancasila, Dosen: R. Bagus Irawan, Ruang: L4 R.80 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-4A, Mata Kuliah: Kecerdasan Buatan, Dosen: Yuyun Umaidah, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-6B, Mata Kuliah: Pengolahan Citra Digital, Dosen: Chaerur Rozikin, Ruang: L3 Lab Dasar 2 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: IF-6E, Mata Kuliah: Pengolahan Citra Digital, Dosen: Riza Ibnu Adam, Ruang: L3 Lab Lanjut 1 [IF]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: SI-PIL, Mata Kuliah: Developing Business App, Dosen: Oman K, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari RABU SESI 4 (15.00-17.30), Kelas: SI-2C, Mata Kuliah: Kewarganegaraan, Dosen: Belum ditentukan, Ruang: L4 R.75 [SI]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: SI-2B, Mata Kuliah: Kepemimpinan, Dosen: Nina, Ruang: L4 R.75 [SI]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-2C, Mata Kuliah: Aljabar Linear, Dosen: Tesa Nur Padilah, Ruang: L4 R.76 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-4F, Mata Kuliah: Analisis Desain Algoritma, Dosen: E. Haodudin Nurkifli, Ruang: L4 R.77 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-6PIL, Mata Kuliah: Wireless Sensor Network, Dosen: Didi Juardi, Ruang: L4 R.78 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-6PIL B, Mata Kuliah: Sistem Pendukung Keputusan, Dosen: Jajam Haerul Jaman, Ruang: L4 R.79 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-4D, Mata Kuliah: Statistika dan Probabilitas, Dosen: Mohamad Jajuli, Ruang: L4 R.80 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-4C, Mata Kuliah: Sistem Operasi, Dosen: Adhi Rizal, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: SI-2A, Mata Kuliah: Sistem Basis Data, Dosen: Billi, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: SI-4D, Mata Kuliah: Jaringan, Dosen: Azhari, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-6PIL A, Mata Kuliah: Sistem Pendukung Keputusan, Dosen: Purwantoro, Ruang: L3 Lab Lanjut 2 [IF]
Jadwal hari KAMIS SESI 1 (07.30-10.00), Kelas: IF-2A, Mata Kuliah: Statistika dan Probabilitas, Dosen: Iqbal Maulana, Ruang: L4 R.75 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-2B, Mata Kuliah: Aljabar Linear, Dosen: Tesa Nur Padilah, Ruang: L4 R.76 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-4C, Mata Kuliah: Statistika dan Probabilitas, Dosen: Mohamad Jajuli, Ruang: L4 R.77 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-6PIL C, Mata Kuliah: Business Intelligence, Dosen: Aji Primajaya, Ruang: L4 R.78 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-4A, Mata Kuliah: Analisis Desain Algoritma, Dosen: E. Haodudin Nurkifli, Ruang: L4 R.79 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: SI-6C, Mata Kuliah: Karya Tulis Ilmiah, Dosen: Apriade, Ruang: L4 R.80 [SI]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-4E, Mata Kuliah: Kecerdasan Buatan, Dosen: Ratna Mufidah, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: SI-4A, Mata Kuliah: Pemrograman Web, Dosen: Billi, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: IF-4D, Mata Kuliah: Pemrograman Berbasis Web, Dosen: Dadang Yusup, Ruang: L3 Lab Lanjut 1 [IF]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: SI-4C, Mata Kuliah: Jaringan, Dosen: Azhari, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari KAMIS SESI 2 (10.00-12.30), Kelas: SI-2A, Mata Kuliah: Bahasa Indonesia, Dosen: Belum ditentukan, Ruang: L4 R.75 [SI]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-2C, Mata Kuliah: Metode Numerik, Dosen: Riza Ibnu Adam, Ruang: L4 R.76 [IF]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-4F, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Intan Purnamasari, Ruang: L4 R.77 [IF]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-6D, Mata Kuliah: Manajemen Proyek Perangkat Lunak, Dosen: Didi Juardi, Ruang: L4 R.78 [IF]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-6B, Mata Kuliah: Metodologi Penelitian, Dosen: Betha Nurina Sari, Ruang: L4 R.79 [IF]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: SI-2C, Mata Kuliah: Statistik, Dosen: Asep Jamaludin, Ruang: L4 R.80 [SI]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: SI-4C, Mata Kuliah: Supply Chain Management, Dosen: Aziz, Ruang: L3 Lab Dasar 1 [SI]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: SI-4B, Mata Kuliah: Supply Chain Management, Dosen: Khusaeri, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: SI-6B, Mata Kuliah: Sistem Cerdas, Dosen: Kamal Prihandani, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-6F, Mata Kuliah: Pengolahan Citra Digital, Dosen: Aries Suharso, Ruang: L3 Lab Lanjut 2 [IF]
Jadwal hari KAMIS SESI 3 (12.30-15.00), Kelas: IF-4E, Mata Kuliah: Statistika dan Probabilitas, Dosen: Iqbal Maulana, Ruang: L4 R.75 [IF]
Jadwal hari KAMIS SESI 4 (15.00-17.30), Kelas: IF-6D, Mata Kuliah: Software Design Pattern, Dosen: Carudin, Ruang: L4 R.76 [IF]
Jadwal hari KAMIS SESI 4 (15.00-17.30), Kelas: IF-6PIL A, Mata Kuliah: Perancangan User Experience, Dosen: Garno, Ruang: L4 R.77 [IF]
Jadwal hari KAMIS SESI 4 (15.00-17.30), Kelas: SI-4D, Mata Kuliah: Bisnis Intelijen, Dosen: Siska, Ruang: L4 R.78 [SI]
